¾	numerator: "3" denominator: "4"
½   numerator: "1" denominator: "2"
↉   numerator: "0" denominator: "3"
⅓   numerator: "1" denominator: "3"
⅔   numerator: "2" denominator: "3"
¼   numerator: "1" denominator: "4"
⅕   numerator: "1" denominator: "5"
⅖   numerator: "2" denominator: "5"
⅗   numerator: "3" denominator: "5"
⅘   numerator: "4" denominator: "5"
⅙   numerator: "1" denominator: "6"
⅚   numerator: "5" denominator: "6"
⅐   numerator: "1" denominator: "7"
⅛   numerator: "1" denominator: "8"
⅜   numerator: "3" denominator: "8"
⅝   numerator: "5" denominator: "8"
⅞   numerator: "7" denominator: "8"
⅑   numerator: "1" denominator: "9"
⅒   numerator: "1" denominator: "10"

